 ,EUI,data,time,,,,,,,,,,
1,deveui,22.75,2019/10/10 10:39,,,,,,,,,,
2,deveui,22.62,2019/10/10 10:44,,,,,,,,,,
3,deveui,23.87,2019/10/10 10:49,,,,,,,,,,
5,deveui,23.18,2019/10/10 10:59,,,,,,,,,,
6,deveui,22.18,2019/10/10 11:04,,,,,,,,,,
7,deveui,22.62,2019/10/10 11:10,,,,,,,,,,
8,deveui,23.12,2019/10/10 11:15,,,,,,,,,,
9,deveui,23.56,2019/10/10 11:20,,,,,,,,,,
11,deveui,22.87,2019/10/10 11:30,,,,,,,,,,
12,deveui,23.68,2019/10/10 11:35,,,,,,,,,,
13,deveui,22.68,2019/10/10 11:40,,,,,,,,,,
15,deveui,23.62,2019/10/10 11:50,,,,,,,,,,
16,deveui,23.56,2019/10/10 11:55,,,,,,,,,,
17,deveui,23.81,2019/10/10 12:00,,,,,,,,,,
18,deveui,23.93,2019/10/10 12:05,,,,,,,,,,
19,deveui,24,2019/10/10 12:10,,,,,,,,,,
20,deveui,24.06,2019/10/10 12:15,,,,,,,,,,
22,deveui,24.18,2019/10/10 12:25,,,,,,,,,,
23,deveui,24.18,2019/10/10 12:30,,,,,,,,,,
26,deveui,24.31,2019/10/10 12:46,,,,,,,,,,
27,deveui,24.37,2019/10/10 12:51,,,,,,,,,,
28,deveui,24.37,2019/10/10 12:56,,,,,,,,,,
29,deveui,24.43,2019/10/10 13:01,,,,,,,,,,
30,deveui,24.5,2019/10/10 13:06,,,,,,,,,,
31,deveui,24.5,2019/10/10 13:11,,,,,,,,,,
32,deveui,24.5,2019/10/10 13:16,,,,,,,,,,
33,deveui,24.56,2019/10/10 13:21,,,,,,,,,,
36,deveui,24.62,2019/10/10 13:36,,,,,,,,,,
37,deveui,24.62,2019/10/10 13:41,,,,,,,,,,
38,deveui,24.62,2019/10/10 13:46,,,,,,,,,,
39,deveui,24.62,2019/10/10 13:51,,,,,,,,,,
40,deveui,24.68,2019/10/10 13:56,,,,,,,,,,
41,deveui,24.68,2019/10/10 14:01,,,,,,,,,,
42,deveui,24.68,2019/10/10 14:07,,,,,,,,,,
43,deveui,24.68,2019/10/10 14:12,,,,,,,,,,
45,deveui,24.75,2019/10/10 14:22,,,,,,,,,,
47,deveui,24.75,2019/10/10 14:32,,,,,,,,,,
48,deveui,24.75,2019/10/10 14:37,,,,,,,,,,
49,deveui,24.81,2019/10/10 14:42,,,,,,,,,,
51,deveui,24.87,2019/10/10 14:52,,,,,,,,,,
52,deveui,24.81,2019/10/10 14:57,,,,,,,,,,
53,deveui,24.87,2019/10/10 15:02,,,,,,,,,,
54,deveui,24.87,2019/10/10 15:07,,,,,,,,,,
55,deveui,24.87,2019/10/10 15:12,,,,,,,,,,
56,deveui,24.93,2019/10/10 15:17,,,,,,,,,,
58,deveui,24.93,2019/10/10 15:27,,,,,,,,,,
59,deveui,24.93,2019/10/10 15:33,,,,,,,,,,
60,deveui,24.93,2019/10/10 15:38,,,,,,,,,,
61,deveui,24.93,2019/10/10 15:43,,,,,,,,,,
62,deveui,24.93,2019/10/10 15:48,,,,,,,,,,
63,deveui,25,2019/10/10 15:53,,,,,,,,,,
64,deveui,25,2019/10/10 15:58,,,,,,,,,,
65,deveui,25,2019/10/10 16:03,,,,,,,,,,
66,deveui,24.93,2019/10/10 16:08,,,,,,,,,,
67,deveui,24.93,2019/10/10 16:13,,,,,,,,,,
68,deveui,24.93,2019/10/10 16:18,,,,,,,,,,
69,deveui,25,2019/10/10 16:23,,,,,,,,,,
70,deveui,24.93,2019/10/10 16:28,,,,,,,,,,
71,deveui,24.93,2019/10/10 16:33,,,,,,,,,,
72,deveui,24.87,2019/10/10 16:38,,,,,,,,,,
73,deveui,24.87,2019/10/10 16:43,,,,,,,,,,
74,deveui,24.87,2019/10/10 16:48,,,,,,,,,,
75,deveui,24.81,2019/10/10 16:53,,,,,,,,,,
76,deveui,24.81,2019/10/10 16:59,,,,,,,,,,
77,deveui,24.81,2019/10/10 17:04,,,,,,,,,,
79,deveui,24.62,2019/10/10 17:14,,,,,,,,,,
80,deveui,24.56,2019/10/10 17:19,,,,,,,,,,
81,deveui,24.56,2019/10/10 17:24,,,,,,,,,,
82,deveui,24.43,2019/10/10 17:29,,,,,,,,,,
85,deveui,24.31,2019/10/10 17:44,,,,,,,,,,
86,deveui,24.25,2019/10/10 17:49,,,,,,,,,,
87,deveui,24.25,2019/10/10 17:54,,,,,,,,,,
88,deveui,24.18,2019/10/10 17:59,,,,,,,,,,
90,deveui,24.12,2019/10/10 18:09,,,,,,,,,,
91,deveui,24.12,2019/10/10 18:14,,,,,,,,,,
92,deveui,24.12,2019/10/10 18:19,,,,,,,,,,
93,deveui,24.06,2019/10/10 18:24,,,,,,,,,,
95,deveui,24.06,2019/10/10 18:35,,,,,,,,,,
97,deveui,24,2019/10/10 18:45,,,,,,,,,,
98,deveui,24,2019/10/10 18:50,,,,,,,,,,
99,deveui,24.06,2019/10/10 18:55,,,,,,,,,,
100,deveui,24,2019/10/10 19:00,,,,,,,,,,
101,deveui,23.93,2019/10/10 19:05,,,,,,,,,,
102,deveui,24,2019/10/10 19:10,,,,,,,,,,
103,deveui,24,2019/10/10 19:15,,,,,,,,,,
104,deveui,23.93,2019/10/10 19:20,,,,,,,,,,
105,deveui,23.93,2019/10/10 19:25,,,,,,,,,,
106,deveui,23.87,2019/10/10 19:30,,,,,,,,,,
107,deveui,23.93,2019/10/10 19:35,,,,,,,,,,
108,deveui,23.87,2019/10/10 19:40,,,,,,,,,,
109,deveui,23.87,2019/10/10 19:45,,,,,,,,,,
